form_index,form_group_id,section_number,part_index,part_count,form_title,website_label,description,source_rows,question_count,total_points,question_number_in_form,source_file,source_sheet,source_row,section,rule,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,points,feedback
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,1,Chapter2_Section1.xlsx,Chapter2_Section1,2,Chapter 2 Section 1,20101,"Under Rule 020101, appointments to offices in the Federal Civil Service are made on whose authority?",The Office of the Accountant-General of the Federation,The Federal Civil Service Commission,The Staff Union,The National Assembly Service Commission,B,The Federal Civil Service Commission,1,"Correct. Under PSR Chapter 2, Section 1, Rule 020101, appointments to offices in the Federal Civil Service are made on the authority of the Federal Civil Service Commission."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,2,Chapter2_Section1.xlsx,Chapter2_Section1,3,Chapter 2 Section 1,20101,Which of the following is one mode of making appointments under Rule 020101?,By letter written under the direction of the Federal Civil Service Commission,By verbal instruction from a colleague,By social media announcement only,By personal approval of the applicant,A,By letter written under the direction of the Federal Civil Service Commission,1,"Correct. Under PSR Rule 020101, appointments may be made by letter written under the direction of the Federal Civil Service Commission."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,3,Chapter2_Section1.xlsx,Chapter2_Section1,4,Chapter 2 Section 1,20101,"Apart from appointment by letter, how else may appointment be made under Rule 020101?",By informal oral promise only,By newspaper rumour,By formal agreement between the Officer and the Federal Government or its appointed agents,By automatic self-appointment,C,By formal agreement between the Officer and the Federal Government or its appointed agents,1,"Correct. Under PSR Rule 020101, appointments may also be made by formal agreement between the Officer and the Federal Government or its appointed agents."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,4,Chapter2_Section1.xlsx,Chapter2_Section1,5,Chapter 2 Section 1,20101,"Subject to Rules 020205, 020206 and 020207, who may appoint eligible candidates to delegated posts?",Permanent Secretaries or Heads of Extra-Ministerial Offices,The Staff Union Chairman,The Officer’s immediate colleague,The National Pension Commission,A,Permanent Secretaries or Heads of Extra-Ministerial Offices,1,"Correct. Under PSR Rule 020101, Permanent Secretaries and Heads of Extra-Ministerial Offices are authorized to appoint eligible candidates to posts where the powers of appointment have been delegated to them, subject to Rules 020205, 020206 and 020207."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,5,Chapter2_Section1.xlsx,Chapter2_Section1,6,Chapter 2 Section 1,20102,"Under Rule 020102, the Federal Civil Service Commission makes appointments to posts graded within which range?",GL. 01–06 only,GL. 07–17,GL. 18 only,All political appointments,B,GL. 07–17,1,"Correct. Under PSR Chapter 2, Section 1, Rule 020102, the Federal Civil Service Commission makes appointments to posts graded GL. 07–17."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,6,Chapter2_Section1.xlsx,Chapter2_Section1,7,Chapter 2 Section 1,20102,Appointments by the Federal Civil Service Commission under Rule 020102 are made when?,Only when there are available vacancies and the need arises,Only after retirement,Only when a Staff Union requests it,Only during annual leave,A,Only when there are available vacancies and the need arises,1,"Correct. Under PSR Rule 020102, appointments to GL. 07–17 are made as the need arises into available vacancies after advertisement."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,7,Chapter2_Section1.xlsx,Chapter2_Section1,8,Chapter 2 Section 1,20102,Where must vacancies be advertised under Rule 020102?,In three national newspapers and the Commission’s website,In one private notice board only,Only by word of mouth,Only through internal WhatsApp groups,A,In three national newspapers and the Commission’s website,1,"Correct. Under PSR Rule 020102, advertisement shall be in three national newspapers and on the Federal Civil Service Commission’s website."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,8,Chapter2_Section1.xlsx,Chapter2_Section1,9,Chapter 2 Section 1,20102,What is the deadline for submission of applications after placement of advertisement under Rule 020102?,Two weeks,Six weeks,One year,Three days,B,Six weeks,1,"Correct. Under PSR Rule 020102, the deadline for submission of applications from interested candidates is six weeks from the date of placement of the advertisement."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,9,Chapter2_Section1.xlsx,Chapter2_Section1,10,Chapter 2 Section 1,20102,"Under Rule 020102, each Ministry or Extra-Ministerial Office selects candidates from what source?",The pool of successful candidates at the Civil Service Examination,Unverified private lists only,Political party membership registers,Family nominations,A,The pool of successful candidates at the Civil Service Examination,1,"Correct. Under PSR Rule 020102, each Ministry or Extra-Ministerial Office selects from the pool of successful candidates at the Civil Service Examination prescribed in Rule 020102(iv)."
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36,10,Chapter2_Section1.xlsx,Chapter2_Section1,11,Chapter 2 Section 1,20102,Who participates in the appropriate Committees of each Ministry under Rule 020102?,Representatives of the Federal Civil Service Commission and the Head of the Civil Service of the Federation,Only retired Officers,Only the Staff Union Chairman,Only private consultants,A,Representatives of the Federal Civil Service Commission and the Head of the Civil Service of the Federation,1,"Correct. Under PSR Rule 020102, the process is handled by the appropriate Committees of each Ministry with representatives of the Federal Civil Service Commission and the Head of the Civil Service of the Federation at the meetings."
