form_index,form_group_id,section_number,part_index,part_count,form_title,website_label,description,source_rows,question_count,total_points
1,ch2-s01-p01,1,1,1,PSR Chapter 2 Section 1,Chapter 2 Section 1,Public Service Rules Chapter 2 practice quiz. Section 1.,2-37,36,36
2,ch2-s02-p01,2,1,2,PSR Chapter 2 Section 2 - Part 1,Chapter 2 Section 2 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 1 of 2.",2-30,29,29
3,ch2-s02-p02,2,2,2,PSR Chapter 2 Section 2 - Part 2,Chapter 2 Section 2 - Part 2,"Public Service Rules Chapter 2 practice quiz. Section 2, Part 2 of 2.",31-59,29,29
4,ch2-s03-p01,3,1,1,PSR Chapter 2 Section 3,Chapter 2 Section 3,Public Service Rules Chapter 2 practice quiz. Section 3.,2-35,34,34
5,ch2-s04-p01,4,1,2,PSR Chapter 2 Section 4 - Part 1,Chapter 2 Section 4 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 4, Part 1 of 2.",2-41,40,40
6,ch2-s04-p02,4,2,2,PSR Chapter 2 Section 4 - Part 2,Chapter 2 Section 4 - Part 2,"Public Service Rules Chapter 2 practice quiz. Section 4, Part 2 of 2.",42-81,40,40
7,ch2-s05-p01,5,1,1,PSR Chapter 2 Section 5,Chapter 2 Section 5,Public Service Rules Chapter 2 practice quiz. Section 5.,2-47,46,46
8,ch2-s06-p01,6,1,1,PSR Chapter 2 Section 6,Chapter 2 Section 6,Public Service Rules Chapter 2 practice quiz. Section 6.,2-43,42,42
9,ch2-s07-p01,7,1,1,PSR Chapter 2 Section 7,Chapter 2 Section 7,Public Service Rules Chapter 2 practice quiz. Section 7.,2-43,42,42
10,ch2-s08-p01,8,1,2,PSR Chapter 2 Section 8 - Part 1,Chapter 2 Section 8 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 8, Part 1 of 2.",2-36,35,35
11,ch2-s08-p02,8,2,2,PSR Chapter 2 Section 8 - Part 2,Chapter 2 Section 8 - Part 2,"Public Service Rules Chapter 2 practice quiz. Section 8, Part 2 of 2.",37-70,34,34
12,ch2-s09-p01,9,1,2,PSR Chapter 2 Section 9 - Part 1,Chapter 2 Section 9 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 9, Part 1 of 2.",2-29,28,28
13,ch2-s09-p02,9,2,2,PSR Chapter 2 Section 9 - Part 2,Chapter 2 Section 9 - Part 2,"Public Service Rules Chapter 2 practice quiz. Section 9, Part 2 of 2.",30-57,28,28
14,ch2-s10-p01,10,1,1,PSR Chapter 2 Section 10,Chapter 2 Section 10,Public Service Rules Chapter 2 practice quiz. Section 10.,2-35,34,34
15,ch2-s11-p01,11,1,1,PSR Chapter 2 Section 11,Chapter 2 Section 11,Public Service Rules Chapter 2 practice quiz. Section 11.,2-30,29,29
16,ch2-s12-p01,12,1,2,PSR Chapter 2 Section 12 - Part 1,Chapter 2 Section 12 - Part 1,"Public Service Rules Chapter 2 practice quiz. Section 12, Part 1 of 2.",2-32,31,31
17,ch2-s12-p02,12,2,2,PSR Chapter 2 Section 12 - Part 2,Chapter 2 Section 12 - Part 2,"Public Service Rules Chapter 2 practice quiz. Section 12, Part 2 of 2.",33-62,30,30
